config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
1689,0.02654859047987149,0.00082742439345125248,0.30565036200000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.054808110924766583,0.00046335850843711145,0,0,0.035299224261615122,0.00027203686528506433
1690,0.045188888118893412,0.0017266211637253792,0.55002021300000004,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.054808110924766583,0.00046335850843711145,0.23639565188982414,0.008090160902531382,0.0020897457832725727,7.133946667246938e-07
1691,0.034019693695860949,0.0014012545123208348,0.36041304800000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.099015042046594087,0.0018951229601319186,0,0,0,0
1692,0.041350039157805947,0.0017172880848942407,0.30515862199999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.099015042046594087,0.0018951229601319186,0.13810176934126006,0.002002016474771101,0.0046713869740736399,3.5621158608966306e-06
1693,0.048495889039035261,0.0029298697452295611,0.34501990100000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0.17323221681704717,0.0075662290638639019,0.077646384166351154,0.00048192924222406397,0.035299224261615122,0.00027203686528506433
1694,0.017156720315717553,0.00030321718498208325,0.305525404,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0,0,0,0,0,0
1695,0.017872161163975938,0.00030352158493854347,0.33264233999999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0,0,0.0072555615269624344,3.1365272899216516e-06,0.0094673376615136643,1.5803755559712259e-05
1696,0.017499021653187761,0.00031764954075853808,0.35478541899999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0,0,0.035299224261615122,0.00027203686528506433
1697,0.018100991760950313,0.00031800147790407243,0.30563960699999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0.0025776564298912751,7.178637923836913e-07,0.0072555615269624344,3.1365272899216516e-06,0,0
1698,0.064676574965703282,0.0066547171947993521,0.31577011999999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0.29432736935424308,0.029782257606169423,0,0,0,0
1699,0.064676574965703282,0.0066547171947993521,0.33054930199999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0.29432736935424308,0.029782257606169423,0,0,0.018436560699085457,6.6669330534709393e-05
1700,0.071688292259373926,0.0082976322019126629,0.60859656600000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.00071998620962972519,1.0668702470797522e-07,0.29432736935424308,0.029782257606169423,0.23639565188982414,0.008090160902531382,0.12482140519422169,0.0043929082768954294
1701,0.017156720315717553,0.00030321718498208325,0.61406954499999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.0019913003314104079,7.4466870783374176e-07,0,0,0,0,0.00073691275757772434,1.017642263681214e-07
1702,0.034590432708572511,0.0062748949849735051,0.613911502,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.0019913003314104079,7.4466870783374176e-07,0,0,0,0,0.23835386535479269,0.017767155452867944
1703,0.033341247327778406,0.00078833493021738773,0.61107809899999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.0019913003314104079,7.4466870783374176e-07,0.029349513899250026,0.00011093713019455803,0.13810176934126006,0.002002016474771101,0.0046713869740736399,3.5621158608966306e-06
1704,0.019090844931119663,0.00030533585844793562,0.44593383599999997,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.004391030021690891,3.7296579112788589e-06,0,0,0.019542957487582578,2.1920897010672351e-05,0,0
1705,0.042420046073257181,0.0063217118088746182,0.36771398700000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.004391030021690891,3.7296579112788589e-06,0,0,0.077646384166351154,0.00048192924222406397,0.23835386535479269,0.017767155452867944
1706,0.017156720315717553,0.00030321718498208325,0.30422188300000003,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.017576043218851114,6.9394104898684919e-05,0,0,0,0,0.00073691275757772434,1.017642263681214e-07
1707,0.017156720315717553,0.00030321718498208325,0.38467332199999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.017576043218851114,6.9394104898684919e-05,0,0,0,0,0.0046713869740736399,3.5621158608966306e-06
1708,0.024986333680410547,0.00035003400888319625,0.352738679,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.017576043218851114,6.9394104898684919e-05,0,0,0.077646384166351154,0.00048192924222406397,0.035299224261615122,0.00027203686528506433
1709,0.033341247327778406,0.00078833493021738773,0.38208166799999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.017576043218851114,6.9394104898684919e-05,0.029349513899250026,0.00011093713019455803,0.13810176934126006,0.002002016474771101,0,0
1710,0.031257272016284782,0.00049868119940373848,0.31910015899999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.033822280134755418,0.00028442848457030151,0,0,0.13810176934126006,0.002002016474771101,0,0
1711,0.049204168872125247,0.002377001097545889,0.32824714799999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.23639565188982414,0.008090160902531382,0,0
1712,0.049204168872125247,0.002377001097545889,0.303468128,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.23639565188982414,0.008090160902531382,0.0020897457832725727,7.133946667246938e-07
1713,0.041576910508631923,0.0010944783185180271,0.30380834699999998,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.064301081919963615,0.0011434775053933504,0,0,0.23639565188982414,0.008090160902531382,0.035299224261615122,0.00027203686528506433
1714,0.017499021653187761,0.00031764954075853808,0.32882399800000001,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0.064301081919963615,0.0011434775053933504,0.0025776564298912751,7.178637923836913e-07,0,0,0,0
