config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE
88,0.0006355371529172452,6.9766503083698134e-08,0.014618318999999999,0,0,0,0,0.0025421486116689808,2.8667892863997632e-07,0,0
89,0.0012111226647687229,2.7618483978005261e-07,0.014245074,0,0,0,0,0.0048444906590748918,1.1348766309780777e-06,0,0
90,0.0023111015664008657,1.1068110641305573e-06,0.014033843000000001,0,0,0,0,0.009244406265603463,4.548019408270464e-06,0,0
91,0.0044950382212321418,4.4414042231893738e-06,0.013721756999999999,0,0,0,0,0.017980152884928567,1.825026263439753e-05,0,0
92,0.0088085381365603198,1.7708273554636734e-05,0.013695706,0,0,0,0,0.035234152546241279,7.2765419883759325e-05,0,0
93,0.017749663906311313,6.9876268733107266e-05,0.013767355,0,0,0,0,0.070998655625245252,0.00028712996885817864,0,0
94,0.035570254051103221,0.00028004326349350328,0.01301328,0,0,0,0,0.14228101620441289,0.0011507313567779948,0,0
95,0.071135233256333308,0.0011405285411920263,0.013296471000000001,0,0,0,0,0.28454093302533323,0.0046865685654330158,0,0
96,0.14096590878929025,0.0044661051940811797,0.013705566000000001,0,0,0,0,0.56386363515716098,0.018351761886311227,0,0
97,0.28223371673052161,0.017952816825031873,0.01364637,0,0,0,0,1.1289348669220864,0.0737702775111925,0,0
98,0.56278378142748064,0.071297504744055842,0.013796703,0,0,0,0,2.2511351257099226,0.29296999808358631,0,0
99,1.1262618332669858,0.28038765077418193,0.013781593,0,0,0,0,4.5050473330679432,1.1521464854185082,0,0
100,2.2527874115513629,1.1898340507636285,0.013855327000000001,0,0,0,0,9.0111496462054514,4.8891708177356366,0,0
101,4.5058748231027259,5.6018830910424171,0.013915343,0,0,0,0,18.023499292410904,23.018809484829816,0,0
102,9.0120496462054529,24.822709478478295,0.013872280000000001,0,0,0,0,36.048198584821812,101.99949036709461,0,0
103,18.024399292410905,104.8512754808627,0.013932877,0,0,0,0,72.09759716964362,430.84646632392759,0,0
104,36.049098584821806,431.25606039568021,0.013901195999999999,0,0,0,0,144.19639433928722,1772.0828750067994,0,0
105,0.25,0.24336111277754177,0.013910433,0,0,0,0,1,1,0,0
106,2.0130312755779507e-09,1.4957485227803241e-18,0.013825408000000001,0,0,0,0,0,0,8.0521251023118028e-09,5.2233865048072528e-18
